id,kaynak,chunk_idx,soru,cevap,tip,baglam
1570150_c0012_586,1570150.pdf,12,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),31.592.732,sayısal,"aaliyetlerden Diğer Gelirler
21
2.037.753
1.402.082
Esas Faaliyetlerden Diğer Giderler
21
-2.939.466
-1.459.133
ESAS FAALİYET KARI (ZARARI)
15.946.069
6.939.553
Yatırım Faaliyetlerinden Gelirler
24
6.476.049
5.491.353
Yatırım Faaliyetlerinden Giderler
24
-957.651
-115.539
FİNANSMAN GELİRİ (GİDERİ) Ö"
1117262_c0010_197,1117262.pdf,10,Dönem Karı Vergi Yükümlülüğü ne kadar oldu?,8.370,sayısal," VARLIKLAR
Finansal Yatırımlar
5
383.471
183.908
Diğer Alacaklar
1.247
9.045
İlişkili Taraflardan Diğer Alacaklar
28
1.247
9.045
Maddi Duran Varlıklar
11
46.514
20.966
Kullanım Hakkı Varlıkları
13
20.244
17.696
Maddi Olmayan Duran Varlıklar
1.102.811
759.228
Şerefiye
14
436.915
327.276
Diğer Maddi O"
1595642_c0001_318,1595642.pdf,1,Esas Faaliyetlerden Kaynaklanan Şüpheli Alacaklar totali ne kadar?,3.302.468.743,sayısal," ve 12
47.236.211.776
31.481.788.521
Sigortacılık Faaliyetlerinden Alacaklar
12
44.039.272.529
30.361.635.866
Sigortacılık Faaliyetlerinden Alacaklar Karşılığı (-)
12
-131.715.095
-121.465.371
Reasürans Faaliyetlerinden Alacaklar
12
3.324.714.489
1.237.678.173
Reasürans Faaliyetlerinden Alacaklar Ka"
1569931_c0011_577,1569931.pdf,11,Önceki yıla göre Finansman Gelirleri nasıl değişti?,1.000.217.472 - 1.640.992.100 = -640.774.628,karşılaştırma,".768.441
Esas Faaliyetlerden Diğer Giderler
22
-5.019.021.787
-6.694.826.196
ESAS FAALİYET KARI (ZARARI)
1.223.249.120
-1.388.245.352
Yatırım Faaliyetlerinden Gelirler
23
159.096.814
30.926.570
Yatırım Faaliyetlerinden Giderler
23
-590.896.169
Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından "
1549021_c0011_484,1549021.pdf,11,Nasıl değişti uzun vadeli kredilerin ana para taksitleri?,"Uzun vadeli kredi taksitlerinin artması, şirketin finansal borcu için daha fazla para ödemesine yol açmıştır.",karşılaştırma,"sapları
0
0
Döviz Hesapları
0
0

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
1468852_c0009_952,1468852.pdf,9,Nasıl değişti para ve faiz swap işlemlerinin hacmi?,Vadeli Döviz Alım-Satım İşlemleri ve Swap Para Alım-Satım İşlemleri hacminde artılmıştır.,karşılaştırma,"65.961.665
459.931.070
1.090.968.614
1.550.899.684
Riskten Korunma Amaçlı Türev Finansal Araçlar
0
109.866.236
109.866.236
1.000.000
47.123.472
48.123.472
Gerçeğe Uygun Değer Riskinden Korunma Amaçlı 
İşlemler
0
109.866.236
109.866.236
0
43.668.672
43.668.672
Nakit Akış Riskinden Korunma Amaçlı İşle"
1555903_c0021_159,1555903.pdf,21,Nasıl değişti Pay Sahiplerinin Diğer Katkıları?,Pay Sahiplerinin Diğer katkıları 1.661 ile 581 arasında değişti.,sayısal,"e
Bağlı Artış/Azalış
Kontrol Gücü 
Olmayan Pay 
Sahipleriyle Yapılan 
İşlemler
-2.242
-2.242
1.661
-581
Pay Sahiplerinin 
Diğer Katkıları
Nakit Akış Riskinden 
Korunma Kazançları (
Kayıpları) 
Kaleminden Çıkarılan
ve Finansal Olmayan 
Varlığın (
Yükümlülüğün) veya 
Gerçeğe Uygun Değer
Riskinden Koru"
1507407_c0007_283,1507407.pdf,7,Vergi (Geliri) Gideri İle İlgili Düzeltmeler ne kadar oldu?,-1.554.419,sayısal,"miyle Değerlenen Yatırımların 
Dağıtılmamış Karları ile İlgili Düzeltmeler
3
1.312.933
-1.554.419
Vergi (Geliri) Gideri İle İlgili Düzeltmeler
17
2.777.700
1.387.485
Duran Varlıkların Elden Çıkarılmasından Kaynaklanan 
Kayıplar (Kazançlar) İle İlgili Düzeltmeler
6.835
3.910
İştirak, İş ortaklığı ve "
1510162_c0008_210,1510162.pdf,8,Hangi faktörler Net Dönem Karı'nın artmasına neden oldu?,Yeniden değerleme ve Ölçüm Kazançları / Kayıpları ile Riskten Korunma Kazançları (Kayıpları) arttı,neden,"
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Sunum Para Birimi
1.000 TL
Finansal Tablo Niteliği
Konsolide
Dipnot Referansı
Özkaynaklar
Ana Ortaklığa Ait Özkayna"
1125376_c0011_297,1125376.pdf,11,Dönem Karı (Zararı)'nın değerine bakalım: 54.601 TL.,-1.187.990 TL,tarih,"caklar
0
0
DİĞER KAPSAMLI GELİR (GİDER)
0
669.840
TOPLAM KAPSAMLI GELİR (GİDER)
10.589.574
1.367.275
Toplam Kapsamlı Gelirin Dağılımı
Kontrol Gücü Olmayan Paylar
0
0
Ana Ortaklık Payları
10.589.574
1.367.275
Kar veya Zarar ve Diğer Kapsamlı Gelir Tablosu

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
"
